sweep,noise_model,delta_per_mode,relative_l2_noise,method,mean_relative_l2,aggregate_relative_l2,median_relative_l2,std_relative_l2,stderr_relative_l2,n_samples
paper_grid,critical,0.01,0.024750457106345186,oracle_spectral_bound,0.048685266778346385,0.03925408779220929,0.04397835808468799,0.023996754855462234,0.0010731675019242338,500
paper_grid,critical,0.005,0.012375228553172593,scnet,0.057637173009025315,0.04342833866027806,0.054048543467938984,0.022653862398455515,0.0010131115255174591,500
paper_grid,critical,0.005,0.012375228553172593,oracle_tikhonov,0.06269473787090996,0.04825846580038718,0.058856959696807015,0.022821396173141675,0.0010206038636919668,500
paper_grid,critical,0.005,0.012375228553172593,oracle_tsvd,0.05599356350203592,0.04178375097483434,0.0523008340141074,0.02166167874032951,0.000968739723402776,500
paper_grid,critical,0.005,0.012375228553172593,tikhonov_discrepancy,0.0689824194153058,0.051374022273217586,0.06283280454708823,0.029187200684157463,0.001305291296054089,500
paper_grid,critical,0.005,0.012375228553172593,prior_wiener,0.05705100376266064,0.04310396544239521,0.053416092618792224,0.022125323073623103,0.0009894745283353169,500
paper_grid,critical,0.005,0.012375228553172593,oracle_spectral_bound,0.03502341630871148,0.0276361602334977,0.03231296665793125,0.01651945411929002,0.0007387724472384281,500
paper_grid,critical,0.001,0.002475045710634519,scnet,0.026228583401203633,0.019709176078278504,0.024844018221432514,0.009377473845527716,0.0004193733795165267,500
paper_grid,critical,0.001,0.002475045710634519,oracle_tikhonov,0.0286690875168429,0.021627828763067035,0.027130857691882233,0.009966285449933089,0.00044570583498434926,500
paper_grid,critical,0.001,0.002475045710634519,oracle_tsvd,0.02636190681816326,0.01968575670997552,0.025081129894867743,0.009514827018973859,0.00042551600017154455,500
paper_grid,critical,0.001,0.002475045710634519,tikhonov_discrepancy,0.03076562354901311,0.022696625457917733,0.028542865710942986,0.011968954961225407,0.0005352679382586673,500
paper_grid,critical,0.001,0.002475045710634519,prior_wiener,0.0258838333179342,0.01952081711487663,0.024418025456645644,0.009210589968714808,0.0004119101056584794,500
paper_grid,critical,0.001,0.002475045710634519,oracle_spectral_bound,0.016202151551990236,0.012446888730599261,0.01514189408323766,0.006771009281302487,0.00030280874058548715,500
extended_grid,critical,0.01,0.02869080037864848,scnet,0.08093124139093515,0.06202757222050816,0.07609342572979555,0.03176383966336202,0.0014205220942736302,500
extended_grid,critical,0.01,0.02869080037864848,oracle_tikhonov,0.08775720769313755,0.06862435406736106,0.08305587390249078,0.0322599843126283,0.001442710357522274,500
extended_grid,critical,0.01,0.02869080037864848,oracle_tsvd,0.07740328197366157,0.05815983235195701,0.07319510442483675,0.030950824497765133,0.0013841629507333724,500
extended_grid,critical,0.01,0.02869080037864848,tikhonov_discrepancy,0.09871240254667316,0.07416244439973015,0.08976644789480526,0.04283627417357914,0.0019156964190988315,500
extended_grid,critical,0.01,0.02869080037864848,prior_wiener,0.08091035929927168,0.06210041799413716,0.07642072286327277,0.03163488255479848,0.0014147549570550323,500
extended_grid,critical,0.01,0.02869080037864848,oracle_spectral_bound,0.04868571026097837,0.03925420451777409,0.04397867418879664,0.023996909434728604,0.0010731744149191842,500
extended_grid,critical,0.003,0.008607240113594544,scnet,0.0443504542450285,0.03337372849494605,0.04174880343283493,0.01685009077122941,0.0007535589678302162,500
extended_grid,critical,0.003,0.008607240113594544,oracle_tikhonov,0.04895121405475767,0.03736143986816077,0.046829691961633946,0.017604151088767565,0.0007872815704132242,500
extended_grid,critical,0.003,0.008607240113594544,oracle_tsvd,0.04411256915363351,0.03297386091263247,0.041268034009088676,0.016890020388425877,0.0007553446745975532,500
extended_grid,critical,0.003,0.008607240113594544,tikhonov_discrepancy,0.053937027201529784,0.039716250549619594,0.04959812772536118,0.02267395441362368,0.0010140100677518786,500
extended_grid,critical,0.003,0.008607240113594544,prior_wiener,0.044323152875854,0.03334766346846357,0.04154838331576173,0.016853693308136363,0.0007537200781785244,500
extended_grid,critical,0.003,0.008607240113594544,oracle_spectral_bound,0.027437479488595085,0.021533331146926675,0.02560466887662649,0.012608655996914447,0.0005638762382802216,500
extended_grid,critical,0.001,0.0028690800378648475,scnet,0.025919830064168866,0.019557798644778964,0.024492003876730756,0.009233959527460353,0.00041295522409766366,500
extended_grid,critical,0.001,0.0028690800378648475,oracle_tikhonov,0.028671858233521988,0.0216287124230999,0.02713155388229803,0.009968661616656336,0.0004458121003907303,500
extended_grid,critical,0.001,0.0028690800378648475,oracle_tsvd,0.02636338820639275,0.019686225118685435,0.025084390052843304,0.009516084640425774,0.00042557224271267346,500
extended_grid,critical,0.001,0.0028690800378648475,tikhonov_discrepancy,0.031009125039947922,0.022761432969808724,0.028618383354912277,0.012216315933796719,0.0005463302572516656,500
extended_grid,critical,0.001,0.0028690800378648475,prior_wiener,0.025885351201038367,0.019521289484628584,0.024418338575367224,0.009211863905538726,0.0004119670778452258,500
extended_grid,critical,0.001,0.0028690800378648475,oracle_spectral_bound,0.016203397280649724,0.012447257873363057,0.015143806615415329,0.006771802548558611,0.0003028442165756675,500
extended_grid,critical,0.0003,0.0008607240113594538,scnet,0.014196152253744128,0.010750862460557028,0.01347004657138099,0.004720550471536864,0.00021110943491150225,500
