delta_per_mode,relative_l2_noise,resolution,method,trained_resolution,mean_relative_l2,aggregate_relative_l2,median_relative_l2,std_relative_l2,stderr_relative_l2,n_samples
0.09705564752385298,0.2500543867586157,512,prior_wiener,256,0.24009956845729452,0.20041340268740732,0.22365572200129627,0.09957066870239052,0.00445293567567312,500
0.09705564752385298,0.2500543867586157,512,oracle_spectral_bound,256,0.14567989077694357,0.12914149083031973,0.13017472560935234,0.08834006671970354,0.00395068788644248,500
0.09705564752385298,0.2500543867586157,512,scnet_full_aperture,256,0.24168728201246706,0.1995686751074075,0.22498079241616886,0.10110105898301136,0.004521376809664583,500
0.09705564752385298,0.2500543867586157,512,spatial_cnn,256,0.4262299524959502,0.2985731879520209,0.3844678737499923,0.19467255736498248,0.008706021432436564,500
0.09705564752385298,0.2629491848478143,1024,scnet,256,0.2414938231114209,0.19935897040125194,0.2248277952200265,0.10119907134895051,0.0045257600559220935,500
0.09705564752385298,0.2629491848478143,1024,oracle_tikhonov,256,0.25730468062519357,0.2271129135882662,0.24788676593805875,0.09329028868640461,0.004172068542867605,500
0.09705564752385298,0.2629491848478143,1024,oracle_tsvd,256,0.21857540911195775,0.1824114081990163,0.20442878354398297,0.09641713514145371,0.004311905367441486,500
0.09705564752385298,0.2629491848478143,1024,tikhonov_discrepancy,256,0.3076940363538223,0.2692895669476391,0.2937232609814262,0.12182683366714138,0.005448261631265762,500
0.09705564752385298,0.2629491848478143,1024,prior_wiener,256,0.24009958480057303,0.20041340746666847,0.22365572814052376,0.09957067370788661,0.00445293589952571,500
0.09705564752385298,0.2629491848478143,1024,oracle_spectral_bound,256,0.1456799068083974,0.1291414945598009,0.13017475315335117,0.08834006596113386,0.003950687852518212,500
0.09705564752385298,0.2629491848478143,1024,scnet_full_aperture,256,0.24322704087708905,0.20126523232188237,0.22627660804375122,0.10032519699201878,0.004486679206604228,500
0.09705564752385298,0.2629491848478143,1024,spatial_cnn,256,0.46996259994330947,0.3197812251862873,0.4070006741221743,0.2317356217454857,0.01036353206062169,500
0.09705564752385298,0.2751895020731138,2048,scnet,256,0.2414938251223698,0.1993589709968651,0.22482779721983348,0.10119907198003925,0.00452576008414524,500
0.09705564752385298,0.2751895020731138,2048,oracle_tikhonov,256,0.25730468483704694,0.22711291509514198,0.24788676686416472,0.09329028970820712,0.004172068588564002,500
0.09705564752385298,0.2751895020731138,2048,oracle_tsvd,256,0.21857541132425246,0.18241140885435292,0.20442878499556474,0.09641713589668378,0.004311905401216402,500
0.09705564752385298,0.2751895020731138,2048,tikhonov_discrepancy,256,0.31076701889556485,0.27180275150236344,0.2970798415633402,0.12202714885957978,0.0054572199990101265,500
0.09705564752385298,0.2751895020731138,2048,prior_wiener,256,0.24009958683587806,0.2004134080588878,0.2236557289297861,0.09957067432705224,0.004452935927215638,500
0.09705564752385298,0.2751895020731138,2048,oracle_spectral_bound,256,0.14567990881082737,0.12914149502095654,0.13017475660115285,0.08834006586418308,0.003950687848182441,500
